date,news_title
2010.12.20,"쿠팡, 온라인모금.자선바자회 실시"
2011.01.20,"소셜 커머스 쿠팡, 회원 100만 돌파"
2011.03.02,소비자 보호 위해 소셜커머스협의체 구성
2011.03.29,"소셜 커머스 쿠팡, 벤처캐피탈서 200억 유치"
2011.04.10,SNS-소셜커머스 1위 기업 뭉쳤다
2011.04.27,강호동 '육칠팔' 마케팅 적극 진행
2011.04.29,"쿠팡, 한국소비자만족지수 소셜커머스 1위"
2011.05.04,소셜커머스 소비자보호 가이드라인 마련
2011.05.09,"쿠팡 ""대학생 선호도 1위"""
2011.05.10,"""소셜커머스 판매 쿠폰도 7일내 환불"""
2011.05.20,"쿠팡-크라제버거, 나눔 봉사활동 펼쳐"
2011.06.23,"쿠팡 ""소셜커머스 고객만족도 1위"""
2011.07.06,"쿠팡 ""그루폰에 매각설 사실 아니다"""
2011.07.10,"쿠팡, 한국주방생활용품진흥협회와 MOU"
2011.07.14,"허민 前 네오플 대표, 위메프 CEO로 복귀"
2011.08.02,국내 소셜커머스 외국계 중심으로 재편?
2011.08.03,소셜커머스 소비자보호 자율규약 제정
2011.08.03,"소셜커머스, 인기 쇼핑몰로 급부상"
2011.08.08,"쿠팡 ""7월 거래액 300억 '업계 1위'"""
2011.08.08,"[60초경제] 롯데마트 ""매출 역전되면 본사 중국 이전"""
2011.08.17,'소셜 커머스' 특허출원 활발
2011.08.18,"쿠팡 ""국내 성과 기반으로 해외시장 진출"""
2011.08.30,"메타소셜업체 쿠미 ""내가 찍은 소셜을 지켜라"""
2011.10.05,"우리금융, 증권수수료 무료쿠폰 판매"
2011.10.12,"카톡, 모바일 메시징 플랫폼으로 진화 선언"
2011.10.19,"쿠미 ""'미리보기 기능' 덕분에 쇼핑이 쉬워져요"""
2011.12.12,올해 네이버 사전 최다 검색어는 '拜上'
2012.01.09,"<서울소식> 구로구, 아기 주민등록증 발급"
2012.01.09,"씨티銀, 소설커머스 통해 적금금리 우대"
2012.01.16,"쿠팡 ""아침에 거래 시작…쿠폰 환불제 도입"""
2012.02.02,"ktcs, 소셜커머스 기업 '쿠팡' 고객센터 수주"
2012.02.07,소셜커머스 미사용 쿠폰 70% 돌려받는다
2012.02.07,소셜커머스 미사용 쿠폰 70% 돌려받는다(종합)
2012.02.07,<연합뉴스 이시각 헤드라인> - 16:00
2012.02.15,무한리필 스테이크 하우스 '상파울루' 명동점 오픈
2012.02.21,"쿠팡, 개인정보 유출 방지 '안심번호' 도입"
2012.02.21,<게시판> 우리은행 인터넷통장 수수료면제
2012.03.12,"""4대 소셜커머스 月거래액 1천억원 돌파"""
2012.04.10,"방통위, 소셜커머스업체 13곳 중징계"
2012.04.17,은행 소셜커머스 꼬리이익이 몸통이익보다 크다
2012.04.24,"쿠팡, 위조상품 근절 위한 MOU 체결"
2012.04.26,다차원 지능개발 조립완구 웨짓 수입판매
2012.04.27,걸그룹 `씨스타' 전통주 온라인 홍보모델로 선정
2012.05.14,"쿠팡, 대규모 물류센터 오픈하고 직배송 시작"
2012.05.22,남원시 숙박시설 여수엑스포 효과 '톡톡'
2012.06.28,<게시판> 종가집 외국어 김치 교실
2012.06.28,"저가 이동통신, 온라인몰 통해 소비자 공략"
2012.07.01,"소셜커머스 ""배송상품 매출이 지역상품 역전"""
2012.07.02,"""쿠팡, 티몬 제치고 상반기 매출 1위"""
2012.07.03,유통업계 대대적 한우 소비 진작 나서
2012.07.03,"티몬·쿠팡, 소셜커머스 1위 자리놓고 신경전"
2012.07.23,"쿠팡, 상품·서비스 체험 모델 모집"
2012.08.01,"CJ오쇼핑 ""티몬, 쿠팡 꼼짝마!"""
2012.08.01,알뜰폰 시장 '활력'…가입자도 '쑥쑥'
2012.08.06,"印尼 내 미얀마 로힝야족 14명, 난민지위 획득"
2012.08.09,"정세균 ""정보통신부 부활해 제2의 벤처붐 견인"""
2012.10.08,"""쿠팡, 글로벌 IT신생기업 중 기업가치 19위"""
2012.10.11,"티몬·쿠팡, 악성 광고프로그램으로 갈등"
2012.10.16,"온세텔레콤 알뜰폰 '스노우맨', 옥션서 판매"
2012.11.20,"서울YMCA, 소갈비 등급조작 '쿠팡' 검찰 고발"
2012.11.20,"서울YMCA, 소갈비 등급조작 '쿠팡' 검찰 고발(종합)"
2012.11.28,"쿠팡, 서비스 대폭 개선…'와우프로젝트 시즌2'"
2012.12.11,"쿠팡, 대졸 신입사원 50여명 공채"
2013.01.08,`짝퉁 천국' 소셜커머스 가짜를 일제 명품으로 판매
2013.01.08,<연합뉴스 이시각 헤드라인> - 16:00
2013.01.26,위메프 공세에 소셜커머스 순위경쟁 예고
2013.02.16,"""봄이 온다"" 유통업계 다이어트 마케팅 돌입"
2013.03.18,"서울시 ""인터넷 쇼핑몰 만족도 1위 CJ온마트"""
2013.06.18,<유통업계 `장마 마케팅' 한창>(종합)
2013.07.08,"쿠팡, ""월간 거래액 첫 1천억원 돌파"""
2013.07.12,"동부택배, `당일택배' 서비스 본격 돌입"
2013.07.31,채소값 급등으로 '베란다 농사꾼' 증가
2013.08.27,"<관심주> 전자결제주, 온라인 결제시장 기대로 주가 '쑥쑥'"
2013.08.27,"쿠팡, 오픈마켓 제치고 모바일 방문자수 1위"
2013.09.02,"티켓몬스터, `소셜 최저가 보상제' 시행"
2013.09.05,"동부택배, `오전·당일 택배서비스' 개시"
2013.09.30,"쿠팡 ""모바일 덕에 순방문자 오픈마켓 제쳐"""
2013.10.06,"호텔들, 소셜커머스 마케팅으로 젊은층에 손짓"
2013.10.15,'가격표시 꼼수' 소셜커머스 업체 4곳에 과태료 부과
2013.10.15,<연합뉴스 이시각 헤드라인> - 16:00
